"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","21/3519","51/9436",0.411764705882353,1.10412383197098,0.574973585185388,0.330242705735626,0.491820681932456,0.283470133678649,"5320/26279/8613/5321/84647/144110/123745/283748/54947/5048/284161/8612/23646/8605/151056/8540/387521/8398/5337/133121/5168",21
"Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","41/3519","103/9436",0.398058252427184,1.06737075018554,0.530162693215363,0.331988158374294,0.49230722630718,0.283750562713072,"23435/10250/8761/1479/79869/51585/5519/55110/84305/10284/65110/100529063/8106/55012/5411/5529/53981/5527/2935/23049/55308/23293/124540/10189/5518/51692/64895/55339/80336/80335/5523/5522/132430/2107/5521/8732/10767/56903/5520/26986/23708",41
"Organismal Systems","Excretory system","hsa04966","Collecting duct acid secretion","12/3519","28/9436",0.428571428571429,1.14919011082694,0.609677543687438,0.334756963222599,0.494300707396773,0.284899543168169,"101927180/23545/527/535/6521/90423/523/8992/534/50617/245972/528",12
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","43/3519","109/9436",0.394495412844037,1.05781719681623,0.468197503151089,0.3536394022561,0.517337426204938,0.298177190896218,"3725/3716/7100/10000/1326/5599/29110/4792/2353/7187/5604/6416/5606/6348/414062/5608/3553/6772/3454/5594/54106/5291/5290/7096/3576/5602/6696/4790/7097/5295/3593/8737/5603/6885/23118/3569/3663/3551/23643/3456/3448/3442/3439",43
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","30/3519","75/9436",0.4,1.07257743677181,0.486632305091433,0.353783719288603,0.517337426204938,0.298177190896218,"356/10000/355/9446/472/4257/4193/540/672/5366/596/2067/581/4436/2956/598/5594/4292/5291/5290/5295/4437/1026/5429/2939/5980/4217/7507/1317/331",30
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","25/3519","62/9436",0.403225806451613,1.08122725481029,0.49484016959806,0.3548308571665,0.517337426204938,0.298177190896218,"23013/3065/26508/4853/5664/1488/23220/1840/9612/8650/83464/7090/1387/1856/79816/4854/182/83737/2033/8850/3516/6310/7091/7088/4851",25
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","33/3519","83/9436",0.397590361445783,1.06611612691174,0.466552783356698,0.359193558535781,0.521506965740235,0.300580383711951,"5195/5825/5824/8443/51703/84188/5830/55711/4598/255027/283927/23417/4843/51268/7498/8540/2181/54363/11264/55670/10478/51555/1962/8310/2180/83594/23305/54511/6648/2053/5828/1384/2182",33
"Metabolism","Lipid metabolism","hsa00592","alpha-Linolenic acid metabolism","11/3519","26/9436",0.423076923076923,1.13445690427788,0.529425397282012,0.366575135860866,0.530006550598836,0.305479279884055,"5320/26279/5321/84647/9415/123745/283748/8605/151056/8398/8310",11
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","67/3519","173/9436",0.38728323699422,1.03847815409987,0.393904779272124,0.374372490305137,0.539034249526483,0.310682564568578,"3716/103/356/10000/355/7132/29110/3458/4939/100529063/8106/4792/1965/7187/8766/5604/5371/1387/4261/5579/6347/10241/7706/5578/3838/3383/11100/581/5610/7514/3553/64135/6772/8480/3454/3460/4600/5594/2033/5894/5291/5290/3576/4790/5295/7416/3593/3117/3112/3108/3841/3459/60/3569/1021/402569/5644/8795/3551/3717/90865/3456/3448/3442/3439/23586/5646",67
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","19/3519","47/9436",0.404255319148936,1.08398783503534,0.445128546636354,0.380126603129049,0.545057567296611,0.314154217462024,"2271/160287/5091/10873/38/3945/32/217/31/4200/98/4190/84532/55902/5105/130/4199/4191/1738",19
"Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","22/3519","55/9436",0.4,1.07257743677181,0.416282547752278,0.387067832961106,0.55046122146518,0.31726871554189,"1650/57134/29929/199857/10905/79796/1798/3703/25834/29880/1603/2530/146664/84620/4249/4248/201595/6184/6480/79644/4124/4121",22
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","22/3519","55/9436",0.4,1.07257743677181,0.416282547752278,0.387067832961106,0.55046122146518,0.31726871554189,"8613/8560/259230/8879/5660/55331/9517/2581/123099/55512/9331/8612/79603/130367/4759/55304/9334/2720/166929/2760/10558/7357",22
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","25/3519","63/9436",0.396825396825397,1.06406491743235,0.393442288933782,0.39255677720367,0.555988578325197,0.320454512002996,"5320/26279/1573/5743/5321/240/84647/1571/10728/123745/283748/247/59344/2879/1555/8605/151056/2678/8398/6916/2053/22949/5742/9536/5730",25
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","20/3519","50/9436",0.4,1.07257743677181,0.396804103174841,0.396884386137835,0.559690242934039,0.322588036273221,"113451/112817/283208/217/4842/384/4843/5831/55748/58510/1158/54498/51056/1160/8974/383/4846/137362/6303/4128",20
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","70/3519","182/9436",0.384615384615385,1.03132445843443,0.329066989998804,0.398396224797428,0.559690242934039,0.322588036273221,"2475/6429/8891/3716/5451/356/7188/10000/355/25833/7132/3678/29110/3458/4939/1967/4792/1965/6430/7187/440275/2923/5371/6347/3690/6426/10189/596/8740/718/5452/5819/581/5610/6432/3553/64135/6772/6672/598/3454/3460/54106/5291/5290/4790/7097/5295/3593/3135/3117/3112/3108/6732/6428/6885/3459/23118/3569/29992/1978/3551/3717/3456/3448/3442/3439/23586/7248/5199",70
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","83/3519","217/9436",0.382488479262673,1.02562128170576,0.294454782192075,0.40949654995147,0.572240753409052,0.329821759889943,"2475/6195/3725/5567/2773/4853/1141/6258/779/10000/9446/3265/90993/595/408/406882/775/4257/3845/7421/10728/2254/8600/688/2353/1139/5604/54852/1544/1143/115/5579/113/23746/6777/6774/5578/3838/596/84699/773/1555/109/6654/1385/54658/182/1869/2778/5594/468/5894/776/111/5291/5290/55584/2250/4790/1950/2247/5295/154/2939/3841/2099/6196/196/9586/107/1956/2770/402569/1576/64764/2053/1978/114/3717/6256/6197/8823/331",83
"Metabolism","Carbohydrate metabolism","hsa00052","Galactose metabolism","13/3519","32/9436",0.40625,1.08933645922137,0.390370701879738,0.412277199862429,0.572240753409052,0.329821759889943,"5214/80201/3098/3906/2595/2548/3099/3938/2720/2645/231/57016/441282",13
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","13/3519","32/9436",0.40625,1.08933645922137,0.390370701879738,0.412277199862429,0.572240753409052,0.329821759889943,"5599/7132/56616/8678/4804/5414/5366/596/581/57448/598/5602/331",13
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","53/3519","138/9436",0.384057971014493,1.02982978530627,0.272222928022723,0.424447626459911,0.585992868824909,0.337748051195913,"5590/2475/8569/5567/10000/5599/80201/3098/10580/3632/3265/2998/3845/32/2308/5836/399694/5604/5257/1398/6720/2319/31/57521/6654/3099/53632/9470/5770/5105/5594/5894/5576/868/2932/5291/5584/5290/10891/5602/1977/5295/5575/2645/5260/5577/5506/51422/1978/3551/53358/2889/7248",53
"Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","11/3519","27/9436",0.407407407407407,1.09243998189721,0.370936697103648,0.42556254450685,0.585992868824909,0.337748051195913,"11332/83401/51144/3992/9415/9524/201562/8310/79071/79993/401494",11
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","28/3519","72/9436",0.388888888888889,1.0427836190837,0.281023647069285,0.433079960715651,0.593987139795774,0.342355700170475,"103/5599/26007/29110/4792/7187/7706/10010/64135/843/64343/3576/5602/4790/3593/8737/5603/6885/9474/3551/3456/3448/3442/3439/338376/56832/23586/1654",28
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","55/3519","144/9436",0.381944444444444,1.02416248302864,0.225319100341839,0.442182603857423,0.604084108419393,0.348175278627892,"731/732/440689/317772/2212/3586/715/440093/3458/1511/87/2903/3021/718/81/940/6628/730/729/9555/8350/8366/8335/3018/8364/8334/8344/8360/8351/3013/8367/3012/8353/8361/8968/8345/8355/8346/8970/8969/8294/8340/8329/8357/8331/8363/8362/8330/8354/8356/8336/717/3117/3112/3108",55
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","53/3519","139/9436",0.381294964028777,1.02242093792996,0.205361752608938,0.450603419252171,0.613174064629424,0.353414446472291,"6195/5567/8945/387778/25906/5519/89869/3709/9700/3479/8881/5529/5527/5604/64506/3480/115/5347/113/7531/996/898/5518/10971/109/699/7529/5594/9978/3708/111/25847/132864/29945/5530/817/10393/6500/995/23291/80315/5603/6196/8379/816/107/7532/8454/5533/286151/7534/114/6197",53
"Genetic Information Processing","Folding, sorting and degradation","hsa04130","SNARE interactions in vesicular transport","13/3519","33/9436",0.393939393939394,1.05632626348739,0.249956534806762,0.466218437769246,0.631294391591336,0.363858438957542,"9554/8674/10228/6843/2054/9482/9527/9570/10791/9342/53407/8676/55014",13
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","16/3519","41/9436",0.390243902439024,1.04641701148469,0.229694455757443,0.467558094060442,0.631294391591336,0.363858438957542,"1491/5223/6472/51268/314/211/55349/64902/29958/635/5723/1738/669/2731/1757/4128",16
"Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","11/3519","28/9436",0.392857142857143,1.05342426825803,0.218322625168073,0.484319097102542,0.649040153102566,0.374086543574966,"6487/6484/6489/124872/10331/8708/10317/10402/8702/84002/2651",11
"Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","8/3519","20/9436",0.4,1.07257743677181,0.250560842130384,0.484442073929581,0.649040153102566,0.374086543574966,"1718/3930/3988/6309/1591/4047/2222/10682",8
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","33/3519","87/9436",0.379310344827586,1.01709929349051,0.123562024110472,0.49142322619614,0.655860998038694,0.378017866304723,"6548/7388/845/7170/480/481/779/6262/783/93589/775/784/488/4633/6547/7168/10368/489/782/4635/786/59285/6546/785/9254/7134/776/170712/1350/781/444/84679/10479",33
"Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","9/3519","23/9436",0.391304347826087,1.04926053597242,0.182401675148729,0.505886807565184,0.670010390172209,0.386173135545942,"4842/384/84706/4843/2744/383/4846/137362/5009",9
"Metabolism","Metabolism of terpenoids and polyketides","hsa00900","Terpenoid backbone biosynthesis","9/3519","23/9436",0.391304347826087,1.04926053597242,0.182401675148729,0.505886807565184,0.670010390172209,0.386173135545942,"10269/9453/23590/9986/38/4598/2342/3157/57107",9
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","16/3519","42/9436",0.380952380952381,1.02150232073506,0.107699702574312,0.515369562806413,0.67997429009059,0.39191601734328,"56267/7166/38/121278/217/1544/23498/130013/316/1962/3033/64577/1644/1738/169355/4128",16
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","138/3519","370/9436",0.372972972972973,1.00010598834128,0.00160391334628477,0.519519334820973,0.682853065086657,0.393575253652252,"10911/5724/3061/3953/5737/23566/1141/134/183/6865/2894/3363/150/2834/594857/887/796/797/1132/170589/5031/4544/2893/1813/2900/160065/399967/552/5027/5025/122042/3356/57105/2862/1511/5729/5732/624/623/2567/1139/1133/1143/6755/283869/2903/7442/136/7067/5697/255061/6752/2642/256933/4160/2587/718/9002/2901/2696/5739/2357/23620/3973/2492/129521/130574/1134/10203/2859/5173/2797/5020/551/146/4159/1908/11255/135/5021/3269/7068/5745/90226/200959/1814/165829/7200/185/5028/6750/55584/2555/2557/2560/2895/84109/10424/2743/59350/4543/5618/2690/2149/2150/3360/154/2741/2890/147/2568/1812/3274/1906/3062/79627/3351/1081/2570/2898/134864/4829/4142/4852/1395/117/3952/1129/5644/3361/7201/432355/6019/5646/1903/9568/1902/2925",138
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","59/3519","159/9436",0.371069182389937,0.995001081282025,-0.049023087526319,0.54972927339934,0.71983418063989,0.414890017659879,"9554/2212/4688/4360/3688/79659/715/4973/101927180/10376/7846/84790/3678/8411/4842/23545/949/3916/1778/7057/527/3684/535/3690/81035/5289/718/90423/8685/22925/1781/200576/4689/51143/523/3693/29927/7879/7037/53407/7097/3673/8992/3135/203068/534/3117/3112/3108/7058/60/948/1780/50617/4481/51606/245972/528/1514",59
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","40/3519","108/9436",0.37037037037037,0.993127256270195,-0.0553958920578377,0.558519883135882,0.728595486647185,0.419939761756302,"10250/55706/25909/10527/23279/55110/10526/84305/11260/10284/3843/65110/5411/23214/9688/55308/3838/10189/9984/23636/7514/129401/7341/8480/6612/8563/23225/51068/51194/64901/94026/57510/3841/11097/9883/402569/23165/23039/8021/57187",40
"Metabolism","Glycan biosynthesis and metabolism","hsa00513","Various types of N-glycan biosynthesis","16/3519","43/9436",0.372093023255814,0.997746452810986,-0.0114216414928167,0.562009298256407,0.730401597359451,0.420980747757609,"1650/57134/6487/199857/10905/79796/3703/283358/25834/1603/2530/64377/201595/6184/4124/4121",16
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","41/3519","111/9436",0.369369369369369,0.990443128550546,-0.078105679407402,0.567000987218724,0.734139337928721,0.4231350650886,"6195/5567/2773/10000/5599/387778/25906/3845/3479/8900/8881/5604/64506/3480/115/5347/113/996/109/699/5594/5894/111/25847/5291/5290/132864/29945/5602/10393/5295/995/6793/80315/5603/6196/8379/107/2770/114/6197",41
"Genetic Information Processing","Replication and repair","hsa03450","Non-homologous end-joining","5/3519","13/9436",0.384615384615385,1.03132445843443,0.0871546278673795,0.569123005885477,0.734147520603199,0.423139781327492,"4361/7520/79840/10111/5591",5
"Metabolism","Carbohydrate metabolism","hsa00650","Butanoate metabolism","10/3519","27/9436",0.37037037037037,0.993127256270195,-0.0275784655822251,0.583111818765291,0.746090977936094,0.430023618406971,"38/341392/65985/6296/2571/1962/622/3033/3157/54511",10
"Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","6/3519","16/9436",0.375,1.00554134697357,0.0171072296513588,0.586655730105311,0.746090977936094,0.430023618406971,"5053/218/314/1644/137362/4128",6
