"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","79/3680","130/9436",0.607692307692308,1.55820234113712,5.12408440150385,3.60448610078997e-07,5.76683454847925e-06,3.09640441401737e-06,"2782/5590/5293/3725/55970/5567/2773/339403/2786/10000/5599/3265/90993/408/4312/4322/3845/4842/122042/1282/1284/4792/6655/54331/2353/207/399694/10681/5604/115/5595/2775/6416/4843/2793/1277/5578/4087/5605/7040/94235/109/6654/1386/1281/1385/1286/23236/5332/6714/4318/2778/5594/468/5894/7048/111/5291/5290/59345/5602/51289/5295/5601/1906/5603/7422/9586/107/1956/2770/1278/2783/64764/114/6019/6013/53358/7046",79
"Organismal Systems","Immune system","hsa04611","Platelet activation","77/3680","126/9436",0.611111111111111,1.56696859903382,5.1227587952768,3.65620634197532e-07,5.76683454847925e-06,3.09640441401737e-06,"5590/5293/5567/2773/5906/2207/2212/5321/10000/3688/5592/6786/83706/2977/23365/7450/3709/4659/84876/207/10125/123745/283748/8773/83660/115/5595/91807/5336/2811/146850/23533/3674/3690/1277/10672/10627/103910/9002/9138/5739/2909/8605/9475/109/1281/23236/5332/85366/6714/2778/5594/3708/387/111/4638/5291/5028/5584/5290/2814/2982/3673/5295/2149/5603/2534/60/107/2770/1278/6916/4067/114/2776/5742/11093",77
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","137/3680","252/9436",0.543650793650794,1.39399154589372,5.06880641061861,4.02180383680964e-07,6.06767796249106e-06,3.25793720418904e-06,"5590/832/998/55616/26119/64744/2060/9372/9829/51100/3310/26052/375/3559/8027/3799/56288/118813/8729/22841/2869/3265/161/55048/10938/2352/2348/116985/408/377/10193/4193/8411/9815/51699/11021/79720/23111/51028/4734/6642/51324/8766/4088/6457/3480/27183/9135/22905/28964/163/147179/11267/1213/64750/9267/79643/11031/4087/23327/9525/1785/4218/58513/1175/30846/9266/29924/8853/10890/30845/10097/26056/10617/23550/274/7852/3800/7456/116987/6714/10564/8218/26286/859/9922/64145/7048/10015/1234/387/868/8723/7879/5584/5337/7037/2868/116984/5156/1601/9765/6643/84249/64411/80230/3135/60682/8724/51534/3482/9265/644150/273/1956/57154/10095/857/830/653857/116988/137492/23362/91782/80223/11059/9897/50807/100287171/1211/8395/7046/81873/89853/1759/56904/30011",137
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","83/3680","140/9436",0.592857142857143,1.52016304347826,4.95781049509743,8.09095959468679e-07,1.16981790806513e-05,6.28113968534896e-06,"2782/2475/6548/55970/5567/2773/2786/6262/441925/440738/10000/7019/3265/22800/595/3845/3709/4633/643246/4842/54331/6547/801/207/6263/10681/5604/4088/4205/115/5595/91807/999/146850/23533/4843/8678/10014/4635/2793/10672/5289/4087/4089/5605/4854/10365/4207/94235/56848/6237/109/6546/5581/9759/23236/5332/85366/84557/5594/3708/5894/111/4638/22808/185/59345/10891/4208/814/1958/1490/107/2770/2783/5054/4899/51422/5327/114/6194/2776/7046",83
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","74/3680","122/9436",0.60655737704918,1.55529223093371,4.93591718885036,9.31376816397065e-07,1.27811166171119e-05,6.86260470568425e-06,"5590/5293/2773/2207/134/5525/8560/10000/5599/56624/259230/8879/3265/9846/5519/7132/3845/171546/55012/5529/9517/624/123099/5527/207/5604/4363/5579/5595/10672/5578/596/5605/125981/79603/53637/10715/56848/581/9475/5581/130367/23236/5332/55304/637/5594/5880/5894/387/5523/5291/165679/5337/5290/5522/5602/166929/5295/5521/5601/5603/2534/4217/2768/5879/2770/5520/5516/8439/340485/2776/1903/10558",74
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","68/3680","110/9436",0.618181818181818,1.58509881422925,4.93528598661947,9.57662916555938e-07,1.27811166171119e-05,6.86260470568425e-06,"6497/3065/353500/9372/7042/10637/7044/657/2615/5519/6667/83729/3458/1634/4093/652/7043/26585/7057/2200/4091/4088/79875/4756/1387/5595/9611/9241/64750/7050/4087/4092/4089/57817/7040/2014/3398/151449/4052/3625/92/90/659/8200/5933/655/5594/9978/7048/387/7018/6498/7037/658/4086/10468/9765/285704/6500/4090/3400/653/3624/57154/8454/5516/392255/7046",68
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","129/3680","238/9436",0.542016806722689,1.38980179028133,4.86990034655784,1.08550727049033e-06,1.39507786244498e-05,7.49063496595666e-06,"2782/5293/1969/5320/26279/998/55970/5567/1435/5906/4803/125467750/4914/356/9462/27/23179/5321/83593/2786/10000/5599/84647/51196/8036/3265/3481/22800/2249/5058/9846/2113/4908/3845/4254/3479/283455/2322/2321/22821/6655/54331/5228/801/207/10125/56924/123745/283748/399694/10681/5604/5923/3480/2903/5579/27040/5595/5336/8844/4763/2793/5578/5605/3643/94235/8605/4909/6237/25780/6654/7535/5899/57186/598/57148/5335/6789/7074/2114/5594/5880/8398/5155/5894/387/22808/5291/5922/5337/5290/59345/5062/5156/3791/2250/5602/1950/2247/2549/56034/5295/5924/1946/2246/1436/5159/5601/2324/55770/8831/7422/4301/5879/9771/5898/1956/2783/4233/285/2260/3551/284/7010/4915/53358/25/2902/8823",129
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","96/3680","169/9436",0.568047337278107,1.45654746591201,4.7884413925513,1.74455739788599e-06,2.16200506095157e-05,1.16085210310459e-05,"5293/2475/5567/51100/441925/440738/10000/5599/664/3265/22800/55626/9776/89849/7405/23710/3845/60673/643246/10645/55578/8660/3916/22863/1965/53349/55102/207/440275/23339/5604/3480/5595/7314/140775/9706/8678/10241/9110/81671/2081/55062/57521/56270/5289/57724/596/6794/5605/84971/4218/6237/57448/10010/26003/8837/3667/55054/23192/598/84557/58476/9342/5594/8897/3708/64419/10533/5894/5580/7879/22808/5291/5290/9711/23001/5602/5295/83734/5601/6885/9474/8417/26100/8887/27072/1508/5516/9821/1612/1514/55014/7248/170067/100130302/116442",96
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","51/3680","78/9436",0.653846153846154,1.67654682274247,4.79720313347348,2.01015032800718e-06,2.40524884075342e-05,1.29145774249463e-05,"5293/10459/998/26052/3688/29119/7414/1793/391/2017/5829/399694/999/9564/1398/1213/10801/1785/10097/1496/2335/4735/6714/63916/8218/1399/55964/859/1499/387/3059/5291/26084/5290/55752/2549/79658/5295/1495/60/5879/9844/10095/857/4233/653857/5747/1211/53358/81873/1759",51
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","55/3680","86/9436",0.63953488372093,1.63985085945399,4.76602862897266,2.28221631548041e-06,2.55460987571517e-05,1.37165462764018e-05,"5293/2475/3725/27/10000/5599/10718/3265/5058/3845/6655/207/56924/399694/5604/145957/5579/5595/5336/1398/6416/2064/6777/5578/5605/6654/8440/2066/6714/5335/1399/5594/5894/868/2932/5291/5290/5062/2069/374/685/5602/1950/817/2549/5295/9542/815/5601/1956/3084/1978/5747/53358/25",55
